uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1109/cvpr.2019.00063,Scene Memory Transformer for Embodied Agents in Long-Horizon Tasks,,2019,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Kuan Fang; Alexander Toshev; Li Fei-Fei; Silvio Savarese,10.1109/cvpr.2019.00063,,https://doi.org/10.1109/cvpr.2019.00063,crossref,EBM transformer robotics embodied agent,concept,architecture_x_embodiment,,142,EBM transformer robotics; embodied agent; long horizon,2026-06-12T15:07:36Z,29.881,29.881
doi:10.1609/aaai.v40i5.37337,Rethinking Progression of Memory State in Robotic Manipulation: An Object-Centric Perspective,"As embodied agents operate in increasingly complex environments, the ability to perceive, track, and reason about individual object instances over time becomes essential, especially in tasks requiring sequenced interactions with visually similar objects. In non-Markovian settings, critical decision cues lie in object histories rather than the current scene. Without persistent memory of prior interactions (what was used, where it was placed, or how it changed), visuomotor policies may fail, repeat past actions, or overlook completed ones. To surface this challenge, we introduce LIBERO-Mem, a non-Markovian task suite for stress-testing robotic manipulation under object-level partial observability. It combines short- and long-horizon object tracking with temporally sequenced subgoals, requiring reasoning beyond the current frame. However, vision-language-action (VLA) models often struggle in such settings, with token scaling quickly becoming intractable even for tasks spanning just a few hundred frames. We propose Embodied-SlotSSM, a slot-centric VLA framework built for temporal scalability. It maintains spatio-temporally consistent slot identities and leverages them through two mechanisms: (1) slot-state-space modeling for reconstructing short-term history, and (2) a relational encoder to align the input tokens with action decoding. Together, these components enable temporally grounded, context-aware action prediction. Experiments show Embodied-SlotSSM's baseline performance on LIBERO-Mem and general tasks, offering a scalable solution for non-Markovian reasoning in object-centric policies.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,Nhat Chung; Taisei Hanyu; Toan Nguyen; Huy Le; Frederick Bumgarner; Duy Minh Ho Nguyen; Khoa Vo; Kashu Yamazaki; Chase Rainwater; Tung Kieu; Anh Nguyen; Ngan Le,10.1609/aaai.v40i5.37337,,https://doi.org/10.1609/aaai.v40i5.37337,crossref,object centric world model,concept,architecture,,2,object centric world model; embodied agent; partial observability; long horizon,2026-06-12T15:07:36Z,25.199,25.199
doi:10.1016/j.autcon.2022.104691,To imitate or not to imitate: Boosting reinforcement learning-based construction robotic control for long-horizon tasks using virtual demonstrations,,2022,Automation in Construction,Lei Huang; Zihan Zhu; Zhengbo Zou,10.1016/j.autcon.2022.104691,,https://doi.org/10.1016/j.autcon.2022.104691,openalex,robotics,concept,openalex_bulk_robotics,,56,long horizon,2026-06-12T18:57:17Z,25.072,25.072
doi:10.1109/lra.2023.3265893,ERRA: An Embodied Representation and Reasoning Architecture for Long-Horizon Language-Conditioned Manipulation Tasks,,2023,IEEE Robotics and Automation Letters,Chao Zhao; Shuai Yuan; Chunli Jiang; Junhao Cai; Hongyu Yu; Michael Yu Wang; Qifeng Chen,10.1109/lra.2023.3265893,,https://doi.org/10.1109/lra.2023.3265893,crossref,physical reasoning robotics manipulation,concept,physical_reasoning,,17,long horizon,2026-06-12T14:45:03Z,24.645,24.645
arxiv:2509.04731v3,Generative World Models of Tasks: LLM-Driven Hierarchical Scaffolding for Embodied Agents,"Recent advances in agent development have focused on scaling model size and raw interaction data, mirroring successes in large language models. However, for complex, long-horizon multi-agent tasks such as robotic soccer, this end-to-end approach often fails due to intractable exploration spaces and sparse rewards. We propose that an effective world model for decision-making must model the world's physics and also its task semantics. A systematic review of 2024 research in low-resource multi-agent soccer reveals a clear trend towards integrating symbolic and hierarchical methods, such as Hierarchical Task Networks (HTNs) and Bayesian Strategy Networks (BSNs), with multi-agent reinforcement learning (MARL). These methods decompose complex goals into manageable subgoals, creating an intrinsic curriculum that shapes agent learning. We formalize this trend into a framework for Hierarchical Task Environments (HTEs), which are essential for bridging the gap between simple, reactive behaviors and sophisticated, strategic team play. Our framework incorporates the use of Large Language Models (LLMs) as generative world models of tasks, capable of dynamically generating this scaffolding. We argue that HTEs provide a mechanism to guide exploration, generate meaningful learning signals, and train agents to internalize hierarchical structure, enabling the development of more capable and general-purpose agents with greater sample efficiency than purely end-to-end approaches.",2025,arXiv,Brennen Hill,,2509.04731v3,http://arxiv.org/abs/2509.04731v3,arxiv,embodied world model planning control,concept,world_models,,,embodied agent; sample efficiency; long horizon,2026-06-12T14:45:03Z,24.200,25.200
arxiv:2606.07089v1,Dreaming when Necessary: Advancing World Action Models with Adaptive Multi-Modal Reasoning,"World Action Models (WAMs) offer a promising approach to embodied intelligence, yet existing methods rely heavily on video prediction as action priors and lack adaptive multimodal reasoning, limiting their effectiveness on long-horizon, complex tasks. We observe that WAMs require different multimodal reasoning modes under different execution contexts: textual reasoning is essential during task transitions to guide high-level action prediction, while visual reasoning is critical during fine-grained manipulation for precise control. Motivated by this observation, we propose \textbf{AdaWAM}, a world action model with adaptive multimodal reasoning abilities. AdaWAM integrates a lightweight dynamic router that autonomously triggers textual or visual reasoning as needed during task execution. Experiments on both simulated and real-world embodied tasks show that AdaWAM substantially improves inference efficiency while outperforming state-of-the-art embodied policies. Codes and demos are available at: https://adawam.github.io/.",2026,arXiv,Yinzhou Tang; Jingbo Xu; Yu Shang; Zihao Song; Chen Gao; Wei Wu; Yong Li,,2606.07089v1,http://arxiv.org/abs/2606.07089v1,arxiv,adaptive world action model robot,concept,wam,,,world action model; adaptive world action model; long horizon,2026-06-12T14:45:03Z,23.900,23.900
arxiv:2505.05495v1,Learning 3D Persistent Embodied World Models,"The ability to simulate the effects of future actions on the world is a crucial ability of intelligent embodied agents, enabling agents to anticipate the effects of their actions and make plans accordingly. While a large body of existing work has explored how to construct such world models using video models, they are often myopic in nature, without any memory of a scene not captured by currently observed images, preventing agents from making consistent long-horizon plans in complex environments where many parts of the scene are partially observed. We introduce a new persistent embodied world model with an explicit memory of previously generated content, enabling much more consistent long-horizon simulation. During generation time, our video diffusion model predicts RGB-D video of the future observations of the agent. This generation is then aggregated into a persistent 3D map of the environment. By conditioning the video model on this 3D spatial map, we illustrate how this enables video world models to faithfully simulate both seen and unseen parts of the world. Finally, we illustrate the efficacy of such a world model in downstream embodied applications, enabling effective planning and policy learning.",2025,arXiv,Siyuan Zhou; Yilun Du; Yuncong Yang; Lei Han; Peihao Chen; Dit-Yan Yeung; Chuang Gan,,2505.05495v1,http://arxiv.org/abs/2505.05495v1,arxiv,embodied world model planning control,concept,world_models,,,embodied agent; long horizon,2026-06-12T14:45:03Z,23.900,23.900
doi:10.1109/tase.2026.3687369,IEI-TIA: Industrial Embodied Intelligence Trustworthy Interpretable Agent for Robotic Long-Horizon and Repetitive Tasks,,2026,IEEE Transactions on Automation Science and Engineering,Jiabao Dong; Lingyuan Yang; Pengji Fang; Shixiang Li; Yusheng Kong; Lei Ren,10.1109/tase.2026.3687369,,https://doi.org/10.1109/tase.2026.3687369,crossref,EBM transformer robotics embodied agent,concept,architecture_x_embodiment,,,EBM transformer robotics; embodied agent; long horizon,2026-06-12T15:07:36Z,23.600,23.600
arxiv:2606.09811v1,AHA-WAM:Asynchronous Horizon-Adaptive World-Action Modeling with Observation-Guided Context Routing,"World-action models have emerged as a promising paradigm for robot manipulation, jointly modeling visual scene dynamics and actions to inject physical priors into policy learning. However, existing world-action models couple world prediction and action execution at the same temporal resolution, forcing the world branch to model near-term frame variations that are redundant and weakly informative. We posit that strictly binding world prediction and action execution to the same temporal rhythm may underutilize the potential of the video branch for embodied control. Therefore, we propose AHA-WAM, an Asynchronous Horizon-Adaptive World-Action Model built on a dual Diffusion Transformer (DiT) architecture that reorganizes world-action modeling around this temporal asymmetry. AHA-WAM instantiates the video DiT as a low-frequency world planner that maintains rolling key-value memory over past observations and exposes reusable layerwise latent context encoding long-horizon scene evolution, while a high-frequency action DiT executes short action chunks in closed loop by querying this context through layerwise joint attention. To support asynchronous execution, we introduce horizon-adaptive offset training and Observation-Guided Video-Context Routing (OVCR), which together let the action expert exploit long-horizon world context while remaining responsive to real-time execution state without rerunning the video DiT. Experiments on RoboTwin and real-world manipulation tasks show that AHA-WAM achieves state-of-the-art performance without any robot-data pretraining, attaining 92.80% average success on RoboTwin and 78.3% success across 4 real-world tasks, while reaching 24.17 Hz closed-loop control with a 4.59x speedup over Fast-WAM.",2026,arXiv,Jisong Cai; Long Ling; Shiwei Chu; Zhongshan Liu; Jiayue Kang; Zhixuan Liang; Wenjie Xu; Yinan Mao; Weinan Zhang; Xiaokang Yang; Ru Ying; Ran Zheng; Yao Mu,,2606.09811v1,http://arxiv.org/abs/2606.09811v1,arxiv,adaptive world action model robot,concept,wam,,,world action model; adaptive world action model; robot manipulation; long horizon,2026-06-12T14:45:03Z,23.500,23.500
arxiv:2605.27589v1,What-If World: A Causal Benchmark for General World Models in Embodied Scenarios,"Video generation models are increasingly used as world simulators for tasks like driving and robotic manipulation. What matters in these settings is not whether a single video looks right, but whether the model's output changes when its input changes. We test this by giving a model two prompts describing the same scene with one physical detail varied, and checking whether the two videos diverge the way physics predicts. The wording difference between the prompts is small by design, since only one variable is changed, but the correct physical difference is not. A model that misses this can still produce two videos that each look plausible individually, and existing benchmarks score videos one at a time and cannot detect this failure. We introduce What-If World, 319 such prompt pairs built on real frames from nuScenes and DROID, organized by a taxonomy of six physical variables shared across driving and manipulation. Each pair is scored with APEO, a four-part rubric checking whether each video follows its prompt (Adherence), is physically consistent (Physics), preserves the shared scene (Environment), and ends in the correct difference (Outcome). Across nine state-of-the-art models, no system exceeds 52% on the paired score, and open-source models cluster near 28%. Every model tested fails on a large fraction of causal interventions, indicating substantial room before these models can reliably support action-conditioned simulation or model-based planning. Where models do score well, performance appears to track the visual prominence of the intervention rather than the tractability of its underlying physics. Some visually subtle interventions score as low as 14.2%, while visually pronounced ones reach 40.4%.",2026,arXiv,Kunlin Cai; Rui Song; Jinghuai Zhang; Kaiyuan Zhang; Pranav Bodapati; Alicia Yu; Fnu Suya; Mohammad Rostami; Jiaqi Ma; Yuan Tian,,2605.27589v1,http://arxiv.org/abs/2605.27589v1,arxiv,adaptive world action model robot,concept,wam,,,world action model; adaptive world action model; benchmark,2026-06-12T14:45:03Z,23.200,25.200
doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,"Vision–language–action (VLA) models often suffer from limited robustness in long-horizon manipulation tasks—where robots must execute extended sequences of actions over multiple time steps to achieve complex goals—due to their inability to explicitly exploit structural symmetries and to react adaptively when such symmetries are violated by environmental uncertainty. To address this limitation, this paper proposes PI-VLA, a symmetry-aware predictive and interactive VLA framework for robust robotic manipulation. PI-VLA is built upon three key symmetry-driven principles. First, a Cognitive–Motor Synergy (CMS) module jointly generates discrete and continuous action chunks together with predictive world-model features in a single forward pass, enforcing cross-modal action consistency as an implicit symmetry constraint across heterogeneous action representations. Second, a unified training objective integrates imitation learning, reinforcement learning, and state prediction, encouraging invariance to task-relevant transformations while enabling adaptive symmetry breaking when long-horizon deviations emerge. Third, an Active Uncertainty-Resolving Decider (AURD) explicitly monitors action consensus discrepancies and state prediction errors as symmetry-breaking signals, dynamically adjusting the execution horizon through closed-loop replanning. Extensive experiments on long-horizon benchmarks demonstrate that PI-VLA achieves state-of-the-art performance, attaining a 73.2% average success rate on the LIBERO benchmark (with particularly strong gains on the Long-Horizon suite) and an 88.3% success rate in real-world manipulation tasks under visual distractions and unseen conditions. Ablation studies confirm that symmetry-aware action consensus and uncertainty-triggered replanning are critical to robust execution. These results establish PI-VLA as a principled framework that leverages symmetry preservation and controlled symmetry breaking to enable reliable and interactive robotic manipulation.",2026,Symmetry,Yina Jian; Di Tian; Xuan-Jing Chen; Zhen-Yuan Wei; Chen-Wei Liang; Mu-Jiang-Shan Wang,10.3390/sym18030394,,https://doi.org/10.3390/sym18030394,crossref,vision language action model limitation robotics,hostile,failure,,2,vision language action model; imitation learning; limitation; benchmark; robustness; ablation; long horizon,2026-06-12T15:07:36Z,23.199,32.199
doi:10.1177/02783649241304789,FurnitureBench: Reproducible real-world benchmark for long-horizon complex manipulation,"Reinforcement learning (RL), imitation learning (IL), and task and motion planning (TAMP) have demonstrated impressive performance across various robotic manipulation tasks. However, these approaches have been limited to learning simple behaviors in current real-world manipulation benchmarks, such as pushing or pick-and-place. To enable more complex, long-horizon behaviors of an autonomous robot, we propose to focus on real-world furniture assembly, a complex, long-horizon robotic manipulation task that requires addressing many current robotic manipulation challenges. We present FurnitureBench, a reproducible real-world furniture assembly benchmark aimed at providing a low barrier for entry and being easily reproducible, so that researchers across the world can reliably test their algorithms and compare them against prior work. For ease of use, we provide 200+ hours of pre-collected data (5000+ demonstrations), 3D printable furniture models, a robotic environment setup guide, and systematic task initialization. Furthermore, we provide FurnitureSim, a fast and realistic simulator of FurnitureBench. We benchmark the performance of offline RL, IL, and offline-to-online RL algorithms on our assembly tasks and demonstrate the need to improve such algorithms to be able to solve our tasks in the real world, providing ample opportunities for future research.",2025,The International Journal of Robotics Research,Minho Heo; Youngwoon Lee; Doohyun Lee; Joseph J Lim,10.1177/02783649241304789,,https://doi.org/10.1177/02783649241304789,crossref,world action model robotics,concept,wam,,7,world action model; motion planning; task and motion planning; imitation learning; benchmark; long horizon,2026-06-12T15:07:36Z,23.040,26.040
arxiv:2402.11871v6,From Real World to Logic and Back: Learning Generalizable Relational Concepts For Long Horizon Robot Planning,"Robots still lag behind humans in their ability to generalize from limited experience, particularly when transferring learned behaviors to long-horizon tasks in unseen environments. We present the first method that enables robots to autonomously invent symbolic, relational concepts directly from a small number of raw, unsegmented, and unannotated demonstrations. From these, the robot learns logic-based world models that support zero-shot generalization to tasks of far greater complexity than those in training. Our framework achieves performance on par with hand-engineered symbolic models, while scaling to execution horizons far beyond training and handling up to 18$\times$ more objects than seen during learning. The results demonstrate a framework for autonomously acquiring transferable symbolic abstractions from raw robot experience, contributing toward the development of interpretable, scalable, and generalizable robot planning systems. Project website and code: https://aair-lab.github.io/r2l-lamp.",2024,arXiv,Naman Shah; Jayesh Nagpal; Siddharth Srivastava,,2402.11871v6,http://arxiv.org/abs/2402.11871v6,arxiv,robot world model failure planning,hostile,failure,,,robot world model; generalization; long horizon; robot world model failure,2026-06-12T14:45:03Z,23.000,29.000
doi:10.1109/tase.2021.3127574,A Framework of Robot Skill Learning From Complex and Long-Horizon Tasks,"Robot Learning from humans is a promising paradigm for directly transferring human skills to robots. This learning allows robots to encapsulate task constraints and motion patterns from human demonstrations as well as acquire skills that can be adapted to unseen scenarios. Even though many state-of-the-art skill-learning successes have been achieved, simultaneously addressing variability from a complex and long-horizon manipulation task and generalizing it to external uncertainty remains a challenge. This efficient skill learning has to allow for handling large-scale, high-dimensional demonstrations, adapting to environmental changes (starting, via and end points and obstacles), generalizing to task constraints (trajectory precision, stiffness), and measuring uncertainty in the reproduction. To this effect, we present a novel robot skill-learning framework called SVGP-CoGP that will implement all the aforementioned properties by encoding task variability from multiple demonstrations using Sparse Variational Gaussian Processes (SVGP) and adapting to additional constraints via a coregionalized multi-output GP (CoGP) based on SVGP. The proposed method can significantly reduce the computational complexity of model fitting by making use of the variational inference of GP models, which makes it possible for robots to learn skills from complex and long-horizon tasks. We evaluated and compared the effectiveness and strengths of our framework with existing probabilistic methods on a Kinova robot that performed emergency button-pressing tasks. The results indicated that our framework allowed the robot to learn skills from complex and long-horizon manipulation tasks that outperformed baselines both in quantitative evaluation and in an online test. Note to Practitioners–The objective of this work is to address the problem of robot-learning from complex and long-horizon manipulation tasks to allow end-users to teach robots new tasks by having them learn from human demonstrations instead of being programmed. We start with a brief historical overview of widely used methods and summarize five prominent capabilities that a skill-learning approach should have: variability, uncertainty, correlation, extrapolation, and adaptability. We then propose an entirely GP-based skill-learning framework by simultaneously addressing all those capabilities by using a sparse variational Gaussian process (SVGP) in conjunction with a coregionalized multioutput GP model. The proposed framework incorporated variational inference and kernel treatments such that the robot learned skills from large-scale demonstrations and high-dimensional trajectories. Finally, experimental evaluation and performance comparisons were performed in a real robot button-pressing task, the results of which indicated that our proposed method enables robots to achieve complex and long-horizon manipulation tasks in dynamic and unstructured environments. With the rapid development of collaborative robots in service and industry, our findings have application scenarios as diverse as robot learning from demonstration, robot skill learning, human–robot collaboration, and other complex and long-horizon manipulation tasks.",2021,IEEE Transactions on Automation Science and Engineering,Hongmin Wu; Wu Yan; Zhihao Xu; Taobo Cheng; Xuefeng Zhou,10.1109/tase.2021.3127574,,https://doi.org/10.1109/tase.2021.3127574,openalex,robotics,concept,openalex_bulk_robotics,,30,skill learning; human demonstration; long horizon,2026-06-12T18:57:17Z,22.617,23.617
doi:10.3390/brainsci10020058,The Role of Emotional Landmarks in Embodied and Not-Embodied Tasks,"The role of emotional landmarks in navigation has been scarcely studied. Previous findings showed that valence and arousal of landmarks increase landmark’s salience and improve performance in navigational memory tasks. However, no study has directly explored the interplay between valence and arousal of emotionally laden landmarks in embodied and not-embodied navigational tasks. At the aim, 115 college students have been subdivided in five groups according to the landmarks they were exposed (High Positive Landmarks HPL; Low Positive Landmarks LPL; High Negative Landmarks HNL; Low Negative Landmarks LNL and Neutral Landmarks NeuL). In the embodied tasks participants were asked to learn a path in a first-person perspective and to recall it after five minutes, whereas in the not-embodied tasks participants were asked to track the learned path on a silent map and to recognize landmarks among distractors. Results highlighted firstly the key role of valence in the embodied task related to the immediate learning, but not to the delayed recall of the path, probably because of the short retention interval used. Secondly, results showed the importance of the interplay between valence and arousal in the non-embodied tasks, specifically, neutral and high negative emotional landmarks yielded the lowest performance probably because of the avoidance learning effect. Implications for future research directions are discussed.",2020,Brain Sciences,Laura Piccardi; Paola Guariglia; Raffaella Nori; Massimiliano Palmiero,10.3390/brainsci10020058,,https://doi.org/10.3390/brainsci10020058,crossref,EBM transformer robotics embodied agent,concept,architecture_x_embodiment,,22,EBM transformer robotics; embodied agent,2026-06-12T15:07:36Z,22.568,23.568
arxiv:2501.06605v3,RoboHorizon: An LLM-Assisted Multi-View World Model for Long-Horizon Robotic Manipulation,"Efficient control in long-horizon robotic manipulation is challenging due to complex representation and policy learning requirements. Model-based visual reinforcement learning (RL) has shown great potential in addressing these challenges but still faces notable limitations, particularly in handling sparse rewards and complex visual features in long-horizon environments. To address these limitations, we propose the Recognize-Sense-Plan-Act (RSPA) pipeline for long-horizon tasks and further introduce RoboHorizon, an LLM-assisted multi-view world model tailored for long-horizon robotic manipulation. In RoboHorizon, pre-trained LLMs generate dense reward structures for multi-stage sub-tasks based on task language instructions, enabling robots to better recognize long-horizon tasks. Keyframe discovery is then integrated into the multi-view masked autoencoder (MAE) architecture to enhance the robot's ability to sense critical task sequences, strengthening its multi-stage perception of long-horizon processes. Leveraging these dense rewards and multi-view representations, a robotic world model is constructed to efficiently plan long-horizon tasks, enabling the robot to reliably act through RL algorithms. Experiments on two representative benchmarks, RLBench and FurnitureBench, show that RoboHorizon outperforms state-of-the-art visual model-based RL methods, achieving a 23.35% improvement in task success rates on RLBench's 4 short-horizon tasks and a 29.23% improvement on 6 long-horizon tasks from RLBench and 3 furniture assembly tasks from FurnitureBench.",2025,arXiv,Zixuan Chen; Jing Huo; Yangtao Chen; Yang Gao,,2501.06605v3,http://arxiv.org/abs/2501.06605v3,arxiv,robot world models manipulation,concept,world_models,,,robot world model; limitation; benchmark; long horizon,2026-06-12T14:45:03Z,22.200,24.200
